date,outlet_name,item_name,net_revenue,quantity,brand,channel,bill_no,product_group,spl_category,basic_rate,cgst,sgst,total_gst,kot_time,city,order_taker
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,119.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,119,2.98,2.98,5.96,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,LARGE ELACHI TEA,139.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,HOT BEVERAGE,BEVERAGES,139,3.48,3.48,6.96,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,HAZELNUT,49.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,ADDONS,ADD ON,49,1.23,1.23,2.46,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,139.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,HOT BEVERAGE,BEVERAGES,139,3.48,3.48,6.96,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018918/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,7.7,7.7,15.4,2025-12-01 12:16:53,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018919/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 12:47:41,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018919/2025,BEVERAGE,BEVERAGES,57.14,1.43,1.43,2.86,2025-12-01 12:47:41,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE ECLAIR,160.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018919/2025,PETIT AND CHOUX,FOOD,160,4,4,8,2025-12-01 12:47:41,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,FRENCH CHILLI CHEESE TOASTIE,153.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018920/2025,SAVOURIES,FOOD,153,3.83,3.83,7.66,2025-12-01 12:53:17,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018920/2025,SAVOURIES,FOOD,181,4.53,4.53,9.06,2025-12-01 12:53:17,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CHOCO LOADED COLD COFFEE,196.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018921/2025,Q SIGNATURE COLD COFFEE,BEVERAGES,196,4.9,4.9,9.8,2025-12-01 12:55:22,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,188.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018922/2025,WRAPS,FOOD,188,4.7,4.7,9.4,2025-12-01 13:18:04,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,209.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018922/2025,SANDWICHES,FOOD,209,5.23,5.23,10.46,2025-12-01 13:18:04,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,182.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018922/2025,Q SIGNATURE COLD COFFEE,BEVERAGES,182,4.55,4.55,9.1,2025-12-01 13:18:04,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,294.0,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018923/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,147,7.35,7.35,14.7,2025-12-01 13:24:11,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,ALMOND QAPPUCCINO,189.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018923/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,189,4.72,4.72,9.44,2025-12-01 13:24:11,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,SPANISH LATTE,175.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018924/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,175,4.38,4.38,8.76,2025-12-01 13:29:34,HYDERABAD,HITECH CITY CASHIER 1
